time,temperatuer_high,temperature_low,temperatureDelta,晴,云,阴,雨,雾,霾,雪,沙,雷,无持续风向,北风,东北风,南风,wind_power,good,bad,other,kouzhaoWeiboNum,ration,target
2013-2-20,4,-7,11,1,1,0,0,0,0,0,0,0,1,0,0,0,3,6,78,4,12,3.188737493,98.7826087
2013-2-21,3,-3,6,1,1,0,0,1,1,0,0,0,1,0,0,0,3,1,93,8,39,3.422810219,214
2013-2-22,7,-4,11,1,1,0,0,0,0,0,0,0,1,0,0,0,3,13,59,5,12,2.743499241,72
2013-2-23,9,-2,11,1,1,0,0,1,0,0,0,0,1,0,0,0,3,1,80,7,17,3.087215794,152
2013-2-24,5,-3,8,0,1,1,0,1,1,1,0,0,1,0,0,0,3,11,538,13,117,17.47509094,297.7391304
2013-2-25,2,-4,6,0,1,1,0,1,0,1,0,0,1,0,0,0,3,0,193,18,56,6.277433399,190.7826087
2013-2-26,9,-3,12,1,1,0,0,1,0,0,0,0,1,0,0,0,3,3,75,13,26,2.931354364,237.4782609
2013-2-27,13,2,11,1,1,1,1,1,1,1,0,0,1,0,0,0,3,2,114,17,62,3.664366336,241.826087
2013-2-28,14,-3,17,1,1,0,0,0,0,0,1,0,0,1,0,0,7,20,513,22,392,14.1471049,252.5217391
2013-3-1,7,-5,12,1,0,0,0,0,0,0,0,0,1,1,0,0,4,34,88,17,43,4.330022482,40.95652174
2013-3-2,6,-4,10,1,1,0,0,0,0,0,0,0,1,0,0,0,3,8,70,4,21,2.752318916,74.95652174
2013-3-3,13,1,12,1,1,0,0,0,0,0,0,0,1,0,0,0,3,2,82,11,25,3.142345345,113.3478261
2013-3-4,15,2,13,1,1,0,0,0,0,0,0,0,1,0,0,0,3,19,63,12,18,2.953630056,55.95652174
2013-3-5,16,4,12,1,1,1,0,1,1,0,0,0,1,0,0,0,3,3,105,7,38,3.676162333,195.5652174
2013-3-6,15,2,13,1,1,0,0,1,1,0,0,0,1,0,0,0,3,5,135,15,109,4.361919466,255.6521739
2013-3-7,16,4,12,1,1,0,0,1,1,0,0,0,1,0,0,0,3,1,227,13,110,7.238103602,307.3043478
2013-3-8,20,5,15,1,1,1,0,0,1,0,0,0,1,0,0,1,4,1,166,11,130,5.713366903,252.1304348
2013-3-9,17,-2,19,1,0,0,0,0,0,0,1,0,0,1,0,0,6,8,174,18,122,6.035621813,148.0434783
2013-3-10,11,-2,13,1,1,0,0,0,0,0,0,0,1,0,0,0,3,8,104,6,22,3.938479725,65.73913043
2013-3-11,13,4,9,1,1,1,1,0,1,1,0,0,1,0,0,0,3,2,75,13,44,3.10336738,166.0434783
2013-3-12,9,-1,10,1,1,1,1,1,0,1,0,0,1,1,1,0,4,4,104,9,46,3.801465345,167.1304348
2013-3-13,9,-2,11,1,1,0,0,0,0,0,0,0,1,0,0,0,3,20,115,9,24,4.514085083,47.82608696
2013-3-14,11,0,11,1,1,0,0,1,0,0,0,0,1,0,0,0,3,2,69,6,41,2.775606809,131.8695652
2013-3-15,13,3,10,1,1,0,0,1,1,0,0,0,1,0,0,0,3,1,77,11,70,3.376538289,270.5217391
2013-3-16,14,5,9,0,1,1,1,1,1,0,0,0,1,0,0,0,3,0,90,7,80,3.1415473,287.2608696
2013-3-17,19,6,13,1,1,1,0,0,1,0,0,0,1,0,0,0,3,6,136,10,112,4.608330966,343.5652174
2013-3-18,11,2,9,1,1,1,1,0,0,1,0,0,1,1,0,0,4,13,85,7,65,3.773663373,76.82608696
2013-3-19,4,-3,7,1,0,1,1,0,0,1,0,0,1,0,0,0,3,6,97,13,40,3.509896506,59.82608696
2013-3-20,8,0,8,1,1,0,0,1,0,0,0,0,1,0,0,0,3,9,89,10,40,3.506870584,70.13043478
2013-3-21,12,2,10,1,1,0,0,1,1,0,0,0,1,1,0,0,4,2,72,7,29,2.908115856,184.2608696
2013-3-22,11,1,10,1,1,1,0,0,0,0,0,0,1,0,0,1,4,2,57,8,26,2.561992302,77.73913043
2013-3-23,13,-1,14,1,1,1,0,0,0,0,0,0,0,1,0,0,5,3,46,0,4,1.921039203,70.13043478
2013-3-24,11,-2,13,1,1,0,0,0,0,0,0,0,1,0,0,0,3,19,47,3,10,2.438829655,48.13043478
2013-3-25,11,1,10,1,1,0,0,0,1,0,0,0,1,0,0,0,3,2,57,2,15,2.219230419,130.3478261
2013-3-26,15,4,11,1,0,0,0,0,1,0,0,0,1,0,0,0,3,0,83,5,46,3.193971564,230.2608696
2013-3-27,17,3,14,1,1,0,0,0,0,0,0,0,0,1,0,0,4,7,97,10,62,3.414651032,116.5217391
2013-3-28,11,-1,12,1,1,0,0,0,0,0,0,0,1,0,0,0,3,10,56,4,11,2.435780518,53.52173913
2013-3-29,11,1,10,0,0,1,1,0,0,1,0,0,1,0,0,0,3,6,103,8,32,3.647097525,96.17391304
2013-3-30,10,2,8,0,1,0,0,0,0,0,0,0,1,0,0,0,3,1,57,10,15,2.438010117,105.8695652
2013-3-31,10,5,5,0,0,0,1,0,1,0,0,0,1,1,0,0,4,0,85,5,57,2.717954879,223.3478261
2013-4-1,16,0,16,1,1,0,0,0,0,0,0,0,1,1,0,0,5,6,69,8,47,2.903370069,123.4347826
2013-4-2,19,5,14,1,0,0,0,0,0,0,0,0,1,0,0,0,3,7,79,15,34,3.318542968,133.6086957
2013-4-3,18,5,13,0,1,0,0,0,0,0,0,0,1,0,0,0,3,2,92,11,49,3.13550447,151.6956522
2013-4-4,12,6,6,0,0,0,1,0,0,0,0,0,1,0,0,0,3,1,48,4,21,2.032272134,89.39130435
2013-4-5,15,2,13,1,1,0,0,0,0,0,0,0,0,1,0,0,5,5,33,7,20,1.57566368,70.73913043
2013-4-6,14,2,12,1,0,0,0,0,0,0,0,0,1,0,0,0,3,13,33,2,27,1.564210446,47.2173913
2013-4-7,15,15,0,0,1,0,0,0,0,0,0,0,1,1,0,0,4,5,34,7,28,1.512448309,103.6086957
2013-4-8,13,4,9,1,1,0,0,0,0,0,1,0,0,1,0,0,6,3,39,1,27,1.589520096,73.60869565
2013-4-9,13,4,9,1,1,0,0,0,0,0,0,0,0,1,0,0,4,18,46,7,24,2.348839033,47.91304348
2013-4-10,14,2,12,1,1,0,0,0,0,0,0,0,1,1,0,0,4,18,30,4,16,1.686248541,47.39130435
2013-4-11,17,2,15,1,0,0,0,0,0,0,0,0,1,1,0,0,4,12,28,6,14,1.582202013,59.95454545
2013-4-12,22,8,14,0,1,0,0,0,0,0,0,0,1,0,0,0,3,6,40,11,13,1.887234636,86.52173913
2013-4-13,23,6,17,0,1,0,0,0,0,0,0,0,0,1,0,0,5,6,41,4,20,1.533806114,82.73913043
