date,good,bad,other
2012-9-2,0,12,1
2012-9-3,5,10,5
2012-9-4,1,11,10
2012-9-5,1,14,3
2012-9-6,0,13,4
2012-9-7,0,10,5
2012-9-8,0,13,1
2012-9-9,0,14,1
2012-9-10,0,24,1
2012-9-11,1,10,4
2012-9-12,0,16,0
2012-9-13,1,5,3
2012-9-14,0,9,4
2012-9-15,0,7,2
2012-9-16,0,9,0
2012-9-17,1,3,2
2012-9-18,1,9,1
2012-9-19,0,5,1
2012-9-20,0,5,3
2012-9-21,0,23,4
2012-9-22,0,8,0
2012-9-23,1,11,1
2012-9-24,1,13,1
2012-9-25,0,10,2
2012-9-26,0,14,2
2012-9-27,1,11,4
2012-9-28,3,19,4
2012-9-29,0,8,3
2012-9-30,1,10,0
2012-10-1,1,5,0
2012-10-2,0,6,2
2012-10-3,0,7,2
2012-10-4,0,6,1
2012-10-5,0,5,0
2012-10-6,0,11,1
2012-10-7,2,8,0
2012-10-8,1,59,5
2012-10-9,1,34,6
2012-10-10,2,13,2
2012-10-11,1,10,6
2012-10-12,0,19,11
2012-10-13,1,14,2
2012-10-14,0,11,3
2012-10-15,0,10,8
2012-10-16,0,12,3
2012-10-17,1,12,5
2012-10-18,0,16,4
2012-10-19,1,21,3
2012-10-20,1,26,2
2012-10-21,0,10,4
2012-10-22,1,11,2
2012-10-23,0,10,3
2012-10-24,3,5,7
2012-10-25,0,48,3
2012-10-26,2,140,5
2012-10-27,3,35,1
2012-10-28,1,5,0
2012-10-29,0,20,6
2012-10-30,0,11,0
2012-10-31,1,10,1
2012-11-1,1,13,7
2012-11-2,0,13,5
2012-11-3,1,24,2
2012-11-4,1,12,5
2012-11-5,1,10,0
2012-11-6,0,10,2
2012-11-7,1,11,5
2012-11-8,0,10,5
2012-11-9,0,7,3
2012-11-10,0,10,2
2012-11-11,2,9,1
2012-11-12,0,8,1
2012-11-13,0,10,5
2012-11-14,0,9,1
2012-11-15,0,14,3
2012-11-16,1,13,2
2012-11-17,0,13,1
2012-11-18,0,18,2
2012-11-19,0,10,6
2012-11-20,0,12,2
2012-11-21,0,45,0
2012-11-22,0,43,5
2012-11-23,0,10,7
2012-11-24,0,14,3
2012-11-25,3,52,7
2012-11-26,0,8,6
2012-11-27,1,22,5
2012-11-28,1,12,6
2012-11-29,1,15,1
2012-11-30,0,16,4
2012-12-1,0,8,2
2012-12-2,0,50,3
2012-12-3,1,21,2
2012-12-4,1,17,6
2012-12-5,0,13,4
2012-12-6,0,15,3
2012-12-7,0,8,2
2012-12-8,0,4,3
2012-12-9,2,6,2
2012-12-10,0,10,3
2012-12-11,0,11,5
2012-12-12,0,21,4
2012-12-13,0,16,6
2012-12-14,1,15,7
2012-12-15,2,17,4
2012-12-16,0,14,0
2012-12-17,1,7,2
2012-12-18,0,2,4
2012-12-19,1,11,3
2012-12-20,1,20,2
2012-12-21,1,7,0
2012-12-22,0,6,1
2012-12-23,0,3,2
2012-12-24,0,3,1
2012-12-25,0,1,2
2012-12-26,1,5,1
2012-12-27,1,9,1
2012-12-28,1,8,1
2012-12-29,0,3,2
2012-12-30,0,8,1
2012-12-31,0,4,2
